Verb,FrameNo,SubFrameNo,Sem,ConstrIndex,Constr,ConstrName,Example,ConstrPattern,Synopsis,Features,FrameNetFrame,MatchEvaluation,Suggestion,Other links
определить,4,1,ментальный,13541,определить 4.1,4.1_Суд определил меру наказания за преступление.,Суд определил меру наказания за преступление. Министерство определило суммы на строительство. Комиссия определила срок сдачи конкурсных работ. Оргкомитет определяет порядок [время] проведения конференции.,Snom V Sacc,определить,НВ определять,Deciding,ExactMatch,,
надеть,3,1,,4918,надеть 3.1,"3.1_Аквалангист нырнул, не надевая маски.","Аквалангист нырнул, не надевая маски. Туристы надели рюкзаки. Наденьте, пожалуйста, очки. Фигурист неторопливо надевал коньки, крепко затягивая шнуровку. Я почти никогда не надеваю обручальное кольцо. Радист надел наушники и взял ключ.",Snom V Sacc,3,НВ надевать,Dressing,TooBroad,,
баловать,1,1,социальное взаимодействие,1018,баловать 1.1,1.1_Мать балует детей.,Мать балует детей. Он души в дочери не чаял и очень ее баловал.,Snom V Sacc,1,СВ нет,Conduct,TooGeneral,,
баловать,2,1,социальное взаимодействие,1021,баловать 2.1,2.1_А ты меня письмами не балуешь.,А ты меня письмами [вниманием] не балуешь. Старика не часто баловали подарками.,Snom _V_ Sacc Sins,2,СВ нет,Conduct,TooGeneral,,
бесить,1,1,эмоция,1074,бесить 1.1,1.1_Его наглая ухмылка бесила жену.,Его наглая ухмылка бесила жену. Меня раздражали и бесили нелепые толки о моей стране. Подросток взбесил сторожа.,Snom V Sacc,,СВ взбесить,Experiencer_obj,TooGeneral,,
беситься,1,1,,1077,беситься 1.1,"1.1_Спокойствие мое лопнуло, я начал беситься.","Спокойствие мое лопнуло, я начал беситься. Долго ты еще будешь беситься? Он начинал беситься, если ему возражали. «Уходи вон!» — взбесился вдруг отец.",Snom V,1,СВ взбеситься,Emotion_directed,TooGeneral,,
беситься,2,1,,1080,беситься 2.1,2.1_Сытые кони бесятся на лугу.,"Сытые кони бесятся на лугу. Дети, хватит беситься!",Snom V,2,СВ взбеситься,Emotion_directed,TooGeneral,,
беспокоить,1,1,эмоция,1081,беспокоить 1.1,1.1_Твое долгое молчание беспокоит меня.,Твое долгое молчание беспокоит меня. Его болезнь обеспокоила друзей. Судьба детей беспокоит родителей.,Snom V Sacc,1,СВ обеспокоить,Experiencer_obj,TooGeneral,,
беспокоить,2,1,эмоция,1085,беспокоить 2.1,2.1_Милиционер вас не беспокоит?,"Милиционер вас не беспокоит? — Как же, каждое утро приходит. Зачем его звали? Только напрасно человека [по]беспокоили. Разрешите Вас побеспокоить?",Snom V Sacc,2,СВ побеспокоить,Experiencer_obj,TooGeneral,,
беспокоить,3,1,эмоция,1087,беспокоить 3.1,3.1_Свет беспокоит больного.,Свет [шум] беспокоит больного. Бритва вас не беспокоит? <вопрос парикмахера к клиенту> Не беспокоит вас старая рана?,Snom V Sacc,3,СВ нет,Experiencer_obj,TooGeneral,,
бить,3,1,физическое воздействие,1106,бить 3.1,3.1_Охотники били медведей.,Охотники били медведей. Мясники бьют скот (на бойне).,Snom V Sacc,3,СВ нет,Killing,TooGeneral,,
бить,13,1,физическое воздействие,1128,бить 13.1,13.1_Бьют настенные часы.,Бьет третий звонок. Бьют настенные часы. Бьет барабан.,Snom V,13,СВ пробить,Sounds,TooGeneral,Sound_command / Sound_signaling,VerbNet: sound_emission
бить,16,1,физическое воздействие,1138,бить 16.1,16.1_Фонтан бьет.,Фонтан бьет.,Snom V,16,СВ нет,Emitting,TooGeneral,Liquid_stream,VerbNet: substance_emission-43.4
бить,19,1,физическое воздействие,11991,бить 19.1,19.1_она била степ,она била степ,Snom V Sacc,,НВ нет,Self_motion,TooGeneral,,
благодарить,1,2,речь,1163,благодарить 1.2,1.2_Благодарю!,Вы мне очень помогли: благодарю.,V1sg,1. &lt;преим. перформ&gt;,СВ поблагодарить,Judgment_direct_address,TooGeneral,,
благодарить,2,1,речь,1166,благодарить 2.1,2.1_Благодари судьбу!,Благодари судьбу!,Snom V Sacc,2. <преим. НВ>,СВ поблагодарить; преим. НВ,Judgment_direct_address,TooGeneral,,
благодарить,3,1,речь,17185,благодарить 3.1,3.1_такие люди не благодарят Богу за прошедшее добро,"Такие люди и за прошедшее добро Богу не благодарят Богу, и настоящим не довольны, и жаждою тают.",Snom V Sdat за + Sacc,,,Judgment_direct_address,TooGeneral,,
блестеть,1,1,свет,1169,блестеть 1.1,1.1_Звезды блестят / блещут.,"Звезды [лучи, огни] блестят / блещут. Солнце блестело. Алмаз [иней, трава] блестит.",Snom V,"1. <блестит, блестят и блещет, блещут>",СВ блеснуть,Location_of_light,TooGeneral,,
бояться,1,1,эмоция,1240,бояться 1.1,1.1_Мальчик боялся наказания.,"Он уже взрослый, но все еще боится матери. Я не боюсь собак [этого человека]. Старушка боялась сырости [сквозняков]. Больше всего мальчик боялся наказания.",Snom V Sgen,1,СВ нет,Experiencer_focus,TooGeneral,,
вешать,4,1,помещение объекта,18612,вешать 4.1,4.1_Он повесил голову на грудь.,Он повесил голову на грудь.,Snom V Sacc на + Sacc,4,СВ повесить,Placing,TooGeneral,,
вешать,5,1,помещение объекта,18615,вешать 5.1,5.1_Продавец вешает колбасу.,Продавец вешает колбасу.,Snom V Sacc,5,СВ взвесить,Dimension,TooGeneral,,
видеть,8,1,восприятие,18091,видеть 8.1,8.1_Эти стены видели Пушкина.,Эти стены видели Пушкина.,Snom видеть Sacc,8,СВ нет,Perception_experience,TooGeneral,,
владеть,4,1,посессивный,1631,владеть 4.1,4.1_Он в совершенстве владел кинжалом.,"Он в совершенстве владел кинжалом [шпагой, пером, французским языком, теорией]. Молодые прозаики совершенно не владеют диалогом.",Snom V Sins,4,СВ нет,Expertise,TooGeneral,wield; master; education_teaching,
добыть,1,1,посессивный,2907,добыть 1.1,1.1_Необходимо добыть деньги.,Необходимо добыть деньги [пищу]. Разведчики добыли все необходимые сведения [новые данные о противнике].,Snom V Sacc,1,НВ добывать,Getting,TooGeneral,,
достаться,1,1,посессивный,3028,достаться 1.1,1.1_После смерти дяди ему досталось расстроенное имение.,После смерти дяди ему досталось расстроенное имение.,Snom V Sdat,1,НВ доставаться,Getting,TooGeneral,,
достаться,2,1,посессивный,3030,достаться 2.1,2.1_Ему достались одни заботы.,Ему достались (на долю / в удел) одни заботы [одни огорчения].,Snom V Sdat,2. <перен.>,НВ доставаться,Getting,TooGeneral,,
влюбиться,1,1,,1644,влюбиться 1.1,1.1_Петр влюбился в Наташу.,Петр влюбился в Наташу. Он влюблялся в каждую хорошенькую девушку. Мой брат после первой же встречи по уши влюбился в свою теперешнюю жену.,Snom V в + Sacc,,НВ влюбляться,Experiencer_focus,TooGeneral,,
влюбиться,2,1,,13262,влюбиться 2.1,2.1_Я влюбилась в историю этой пары.,Я влюбилась в историю этой пары.,Snom V в + Sacc,,,Experiencer_focus,TooGeneral,,
возвратить,1,1,посессивный,1693,возвратить 1.1,1.1_Его отец еще не возвратил долг ростовщику.,Его отец еще не возвратил долг ростовщику. Мальчик возвратил владельцу найденный бумажник.,Snom _V_ Sacc Sdat,1,НВ возвращать,Giving,TooGeneral,,
возвратить,2,1,посессивный,1695,возвратить 2.1,"2.1_Мы возвращаем земли, занятые врагом.","Мы возвращаем земли, занятые врагом. Через три дня город должен быть возвращен.",Snom V Sacc,2,НВ возвращать,Giving,TooGeneral,,
возвратить,4,1,посессивный,1698,возвратить 4.1,4.1_Мать возвратила детей.,Мать возвратила детей. Все танки должны быть возвращены.,Snom V Sacc,"4. <редк., лучше вернуть>",НВ возвращать,Giving,TooGeneral,,
возмутить,1,1,эмоция,1731,возмутить 1.1,1.1_Ее поведение возмущает нас.,Ее поведение возмущает нас. Меня возмутил[а] его беспечность [его отказ]. Он был возмущен до глубины души.,Snom V Sacc,,НВ возмущать,Experiencer_obj,TooGeneral,,
возмутить,2,1,эмоция,16901,возмутить 2.1,2.1_Поток газа возмущает резонаторы.,Поток газа возмущает резонаторы. Поверхность воды возмутил порыв ветра. Ничто не возмущало этого лица.,Snom V Sacc,2,НВ возмущать,Experiencer_obj,TooGeneral,,
возмутить,3,1,эмоция,17651,возмущать 3.1,3.1_Агитаторы охмуряют и возмущают толпу.,Агитаторы охмуряют и возмущают толпу.,Snom V Sacc,3. вызывать неповиновение,НВ возмущать; обычно НВ,Experiencer_obj,TooGeneral,,
возмутиться,1,1,эмоция,1734,возмутиться 1.1,1.1_Вы все возмущаетесь?,Вы все возмущаетесь? Тут нечего возмущаться.,Snom V,,НВ возмущаться,Experiencer_focus,TooGeneral,,
вонять,1,1,,1767,вонять 1.1,1.1_Мясо воняет.,Мясо [капуста] воняет. (Тут) ужасно воняет.,Snom V,,СВ нет,Give_impression,TooGeneral,,
воображать,1,1,ментальный,1770,воображать 1.1,1.1_Вообрази картину южной ночи!,Вообрази картину южной ночи!,Snom V Sacc,1,СВ вообразить,Awareness,TooGeneral,,
восторгаться,1,1,эмоция,1808,восторгаться 1.1,1.1_Что вы так шумно восторгаетесь?,"Что вы так шумно восторгаетесь? Посетители ходили по залам, восторгались.",Snom V,,СВ нет <радоваться чему-л. и восхищаться этим>,Judgment,TooGeneral,,
восхищаться,1,1,эмоция,1811,восхищаться 1.1,1.1_Он ходил по выставке и шумно восхищался.,Он ходил по выставке и шумно восхищался.,Snom V,,"СВ восхититься <испытывать эмоцию, вызываемую очень высокой оценкой чего-л.>",Emotion_directed,TooGeneral,,
встать,1,1,изменение положения тела,1879,встать 1.1,1.1_Гости встали.,"Гости встали. Когда вошел генерал, офицеры встали. Он встал и уступил свое место старушке.",Snom V,1,НВ вставать,Change_posture,TooGeneral,,
выглядеть,1,1,,2002,выглядеть 1.1,1.1_Ваши дети выглядят хорошо.,Ваши дети выглядят хорошо [плохо].,Snom V ADV,,СВ нет,Give_impression,TooGeneral,,
выдумать,1,1,ментальный,2061,выдумать 1.1,1.1_Старик сам выдумывает свои сказки.,Старик сам выдумывает свои сказки. Ты выдумал эти трудности. Он выдумал что-то несусветное.,Snom V Sacc,1,НВ выдумывать,Coming_up_with,TooGeneral,,
вынести,3,1,,2181,вынести 3.1,3.1_Я внимательно прочитал книгу и вынес следующее впечатление.,Я внимательно прочитал книгу и вынес следующее впечатление.,Snom V Sacc,3,НВ выносить,Grasp,TooGeneral,,
вынести,6,1,,2185,вынести 6.1,6.1_Этот проект решили вынести на общее обсуждение.,Этот проект [это предложение] решили вынести на общее обсуждение [на рассмотрение]. На бюро вынесли только один вопрос.,Snom V Sacc на + Sacc,6. <перен.>,НВ выносить,Causation,TooGeneral,,
выписать,1,1,,2205,выписать 1.1,1.1_Он аккуратно выписал все адреса.,"Он аккуратно выписал все адреса [формулы, правила, телефоны]. Не надо выписывать подряд все определения.",Snom V Sacc,1,НВ выписывать,Text_creation,TooGeneral,,
выписать,3,1,,2209,выписать 3.1,"3.1_Выпишите, пожалуйста, счет.","Выпишите, пожалуйста, счет. Приемщица торопливо выписала квитанцию и снова схватила телефонную трубку.",Snom V Sacc,3,НВ выписывать,Text_creation,TooGeneral,,
выпить,2,1,физиология,2218,выпить 1.1,2.1_Водитель выпил стакан молока и снова сел за руль.,Водитель выпил стакан молока и снова сел за руль. Дедушка выпил вина и захмелел. Гонец выпил воды и поскакал дальше.,Snom V {Sacc / Spart},2,НВ нет,Ingestion,TooGeneral,,
вырезать,1,1,физическое воздействие,2276,вырезать 1.1,1.1_В любом случае опухоль необходимо вырезать.,"В любом случае опухоль необходимо вырезать. Девочка вырезает картинки [цифры, буквы] и наклеивает их в тетрадь.",Snom V Sacc,1. удаление / уничтожение,НВ вырезать,Removing,TooGeneral,,
выслушать,4,1,восприятие,16576,выслушать 4.1,4.1_Травка выслушала гон лисицы,Выслушав гон лисицы. Травка поняла круг пробега зайца от Лежачего камня.,Snom V Sacc,,,Perception_active,TooGeneral,,
выслушивать,3,1,восприятие,16548,выслушать 3.1,3.1_выслушивать спички,"Он бьет себя по карманам, выслушивая спички",Snom V Sacc,3,СВ выслушать,Perception_active,TooGeneral,,
выяснить,1,1,ментальный,2402,выяснить 1.1,1.1_Командир решил выяснить обстановку.,"Командир решил выяснить [выяснял] обстановку. Я бы хотел выяснить одну важную деталь [все обстоятельства дела, еще некоторые факты].",Snom V Sacc,,НВ выяснять,Becoming_aware,TooGeneral,,
гладить,2,1,физическое воздействие,2442,гладить 2.1,2.1_Она погладила ребенка.,"Она погладила ребенка [кошку, собаку]. Мужчина гладил бороду [усы, бакенбарды] и с любопытством смотрел на меня. Муж задумчиво гладил бороду.",Snom V Sacc,2,СВ погладить,Manipulation,TooGeneral,,
глодать,2,1,,12204,глодать 2.1,2.1_А тебя не гложет совесть?,"А тебя, сударь, не гложет совесть?",Snom V Sacc,,,Emotion_directed,TooGeneral,,
глядеть,5,1,восприятие,2463,глядеть 5.1,5.1_Гляди на вещи просто.,"Гляди на вещи просто. Я со страхом гляжу на крушение семейных устоев. Как вы поглядите на то, чтобы поехать за город?",Snom V на + Sacc {ADV / PR + Sx},5. <разг.>,СВ поглядеть,Regard,TooGeneral,,
говориться,1,1,речь,2540,говориться 1.1,"1.1_Говорились речи, вино лилось рекой.","Говорились речи, вино лилось рекой.",Snom V,1,СВ нет,Statement,TooGeneral,,
говориться,2,1,речь,2543,говориться 2.1,2.1_Я ничего не выдумал: это говорится в вашей последней статье.,Я ничего не выдумал: это говорится в вашей последней статье.,Snom V в + Sloc,2,СВ нет,Statement,TooGeneral,,
греть,10,1,,16957,греть 10.1,10.1_Победа греет мне душу.,Победа Единой России на выборах тоже не греет мне сердце,Snom V {душу / сердце} Sdat,10,СВ нет,Cause_temperature_change,TooGeneral,,
делать,4,1,,2789,делать 4.1,"4.1_Сделайте одолжение, помолчите немного.","Сделайте одолжение, помолчите немного.",Snom V Sacc,4,СВ сделать,Intentionally_act,TooGeneral,,
держать,1,1,местонахождение,2839,держать 1.1,1.1_Секретарь держал большую книгу.,"Секретарь держал большую книгу [папку с бумагами, поднос с корреспонденцией].",Snom V Sacc,1,"СВ нет, за искл. ?",Manipulation,TooGeneral,,
дирижировать,1,1,,12753,дирижировать 1.1,1.1_Он дирижировал оркестром.,Он дирижировал оркестром.,Snom V Sins,,,Conduct,TooGeneral,,
допускать,1,1,,2998,допускать 1.1,1.1_Он никого к себе не допускал.,Он никого к себе не допускал. К больному [сюда] допускают только родственников. Было запрещено допускать посторонних на стройплощадку [в демонстрационный зал].,Snom V Sacc {ADV / PRкуда + Sx},1,СВ допустить,Preventing_or_letting,TooGeneral,,
допускать,2,1,,2999,допускать 2.1,2.1_Деканат не допустил его к экзаменам.,Деканат не допустил его к экзаменам. После долгих лет работы разведчика допустили к самым секретным бумагам. Лучшие спортсмены школы будут допущены к участию в городских соревнованиях.,Snom V Sacc к + Sdat,2,СВ допустить,Preventing_or_letting,TooGeneral,,
допускать,3,1,,3000,допускать 3.1,3.1_Как вы это допускаете?,Как вы это [такое] допускаете? Он не допустит издевательств над своими детьми. Почему вы допускаете такую текучесть кадров?,Snom V Sacc,"3. <преим. отриц, вопр или воскл>",СВ допустить,Preventing_or_letting,TooGeneral,,
допускать,4,1,,3003,допускать 4.1,4.1_Он допускает грубые выходки.,Он допускает грубые выходки.,Snom V Sacc,4,СВ допустить,Preventing_or_letting,TooGeneral,,
достигнуть,3,1,,3040,достигнуть 3.1,3.1_Прирост населения достиг пяти процентов в год.,Тициан достиг глубокой старости и умер на девяносто девятом году от холеры. Новый сорт пшеницы достигает человеческого роста. Вода достигла самой высокой отметки. Температура достигает сорока градусов в тени. Прирост населения достиг пяти процентов в год.,Snom V Sgen,3. неконтролируемое,НВ достигать,Change_position_on_a_scale,TooGeneral,,
дружить,1,1,,3069,дружить 1.1,1.1_В девятом классе к нам пришли новенькие — парень и девушка: они дружили.,В девятом классе к нам пришли новенькие — парень и девушка. Они дружили.,Snom V,,СВ нет,Personal_relationship,TooGeneral,,
дуть,1,1,природное явление,3083,дуть 1.1,"1.1_Закрой окно, очень дует.","Закрой окно, очень дует.",Vimpers,1,СВ дунуть,Motion,TooGeneral,,
жарить,1,1,физическое воздействие: обработка,3153,жарить 1.1,1.1_Мама жарила картошку.,Отец любил сам жарить картофель [мясо].,Snom V Sacc,1,"СВ поджарить, пожарить",Cooking_creation,TooGeneral,,
жарить,4,1,физическое воздействие: обработка,3162,жарить 4.1,4.1_Жарь в город!,"Жарь в город [к старшине, сюда, на речку]!",Snom V {ADV / PRкуда + Sx},4. <прост.>,"СВ, кроме 1, нет",Self_motion,TooGeneral,(Просторечие),
жать1,108,1,физическое воздействие,3175,жать 8.1,"8.1_Посмотри, как Власов жмет штангу.","Посмотри, как Власов жмет штангу.",Snom V Sacc,8. &lt;спец.&gt;,СВ нет,Body_movement,TooGeneral,,
жать1,109,1,физическое воздействие,3176,жать 9.1,"9.1_Жми, братишка!","Жми, братишка!",Snom V,9. <прост.>,СВ нет,Self_motion,TooGeneral,(Просторечие),
жать1,112,1,физическое воздействие,13000,жать1 12.1,12.1_Он жмёт плечами.,Он жмёт плечами.,Snom V плечами,I 12.,СВ нет,Body_movement,TooGeneral,,
желать,2,1,воля,3191,желать 2.1,2.1_Я искренне желаю вам добра.,"Я искренне желаю вам добра [здоровья, счастья, благополучия]. Он пожелал мне всяческих благ.",Snom V Sgen Sdat,2,СВ пожелать,Desiring,TooGeneral,,
жечь,2,1,уничтожение/прекращение существования,3204,жечь 2.1,2.1_Оккупанты жгли леса.,"Оккупанты жгли леса [посевы, мосты, постройки]. Крестьяне жгли помещичьи усадьбы.",Snom V Sacc,2,СВ нет,Cause_harm,TooGeneral,,
жечь,3,1,уничтожение/прекращение существования,3206,жечь 3.1,3.1_Солнце невыносимо жжет.,Солнце невыносимо жжет.,Snom V,3,СВ нет,Temperature,TooGeneral,,
жечь,4,1,уничтожение/прекращение существования,3210,жечь 4.1,4.1_Мороз жжет кожу.,Мороз жжет кожу. Комары так и жгут лицо. Горчишники жгли спину.,Snom V Sacc,4,СВ нет,Experience_bodily_harm,TooGeneral,,
жечь,6,1,уничтожение/прекращение существования,3214,жечь 6.1,6.1_Внутри жжет.,Внутри [в груди] (все) жжет. Во рту жгло.,{ADV / PRгде + Sx} Vimpers,6,СВ нет,Experience_bodily_harm,TooGeneral,,
жечь,7,1,уничтожение/прекращение существования,18441,жечь 7.1,7.1_Палач жег спину раскаленным железом.,Палач жег спину раскаленным железом.,Snom V Sacc Sins,7. (агентивация от 4),СВ нет,Cause_harm,TooGeneral,,
жить,1,1,существование,3217,жить 1.1,1.1_Ему хотелось жить.,Ему хотелось жить.,Snom V,1,СВ нет,Dead_or_alive,TooGeneral,,
забить,9,1,,3252,забить 9.1,9.1_Хулиганы насмерть забили собаку.,Хулиганы насмерть забили собаку [случайного прохожего].,Snom V Sacc,9,НВ забивать,Cause_harm,TooGeneral,,
забить,10,1,,3253,забить 10.1,10.1_К празднику забили двух баранов.,К празднику забили двух баранов.,Snom V Sacc,10. &lt;спец.&gt;,НВ забивать,Killing,TooGeneral,,
заболеть1,1,1,физиология,3261,заболеть 1.1,1.1_Ребенок заболел.,"Ребенок заболел. Пленные заболевали и мерли, как мухи.",Snom V,1,НВ заболевать,Medical_conditions,TooGeneral,,
заболеть2,1,1,физиология,3258,заболеть 1.1,1.1_Голова заболела.,Голова заболела. Живот заболел.,Snom V,1,НВ заболевать,Medical_conditions,TooGeneral,,
заботиться,1,1,,3263,заботиться 1.1,1.1_Родители заботятся о здоровье детей.,Родители заботятся о здоровье [о воспитании] детей. Вы совершенно не заботитесь о стариках [о своих родителях]. Государство обязано заботиться об укреплении своей обороноспособности.,Snom V о + Sloc,1,СВ нет,Conduct,TooGeneral,,
забрать,1,1,,3267,забрать 1.1,"1.1_Он забрал все, что ему было нужно.","Он забрал все, что ему было нужно.",Snom V Sacc,1,НВ забирать,Taking,TooGeneral,,
завалить,2,1,физическое воздействие,3307,завалить 2.1,2.1_Камни завалили пещеру.,Камни завалили пещеру. Пепел завалил деревушку.,Snom V Sacc,2,НВ заваливать,Filling,TooGeneral,,
завалить,3,1,физическое воздействие,3309,завалить 3.1,"3.1_Он сам работает, как вол, и всех заваливает работой.","Он сам работает, как вол, и всех заваливает работой [делами]. Директор завалил новенькую секретаршу поручениями.",Snom V Sacc Sins,3,НВ заваливать,Filling,TooGeneral,,
завалить,4,1,физическое воздействие,3310,завалить 4.1,4.1_Заваливай мост!,"Заваливай мост [крышу, забор, стену]!",Snom V Sacc,4,НВ заваливать,Placing,TooGeneral,,
завалить,6,1,физическое воздействие,13073,завалить 6.1,6.1_Нельзя завалить угол,Окно было завалено влево.,Snom V Sacc {ADV / PRкуда + Sx},6. перекосить набок,НВ заваливать,Undergo_change,TooGeneral,,
завалить,7,1,физическое воздействие,3313,завалить 7.1,7.1_Экзаменатор всех подряд заваливает.,Экзаменатор всех подряд заваливает.,Snom V Sacc,7. <прост.>,НВ заваливать,Success_or_failure,TooGeneral,Cause_to_fail,
завалить,8,1,физическое воздействие,13076,завалить 8.1,8.1_Они придут и завалят всю мою семью.,Они придут и завалят всю мою семью.,Snom V Sacc,8. убить,НВ заваливать,Killing,TooGeneral,,
завалить,9,1,физическое воздействие,13075,завалить 9.1,9.1_Какой-то дипломат завалил наших разведчиков.,Какой-то дипломат завалил наших разведчиков.,Snom V Sacc,9. предать,НВ заваливать,Killing,TooGeneral,,
завернуть,1,1,,3316,завернуть 1.1,"1.1_Заверните, пожалуйста, книги.","Заверните, пожалуйста, книги.",Snom V Sacc,1,НВ заворачивать; НВ также завертывать,Placing,TooGeneral,,
завесить,1,1,,14213,завесить 1.1,1.1_Они завесили окно одеялом.,Они завесили окно одеялом.,Snom V Sacc Sins,1,"НВ завешивать, СВ завешать",Eclipse,TooGeneral,,
зависеть,2,1,,3341,зависеть 2.1,2.1_Он очень зависит от своего начальника.,Он очень зависит от своего начальника [от отца].,Snom V от + Sgen,2,НВ нет,Reliance,TooGeneral,,
завтракать,1,1,физиология,3346,завтракать 1.1,1.1_Пора завтракать.,Пора завтракать. Кончили завтракать - выходите из-за стола. Мальчик плотно [наспех] позавтракал и отправился в школу.,Snom V,,СВ позавтракать,Ingestion,TooGeneral,,
загореть,1,1,изменение состояния или признака,3364,загореть 1.1,1.1_Мальчик красиво загорел.,Мальчик красиво [ровно] загорел.,Snom V,,НВ загорать,Color,TooGeneral,,
задать,1,1,,3379,задать 1.1,1.1_Учитель задал домашнее задание.,На праздники обычно ничего не задают.,Snom V Sacc,1,НВ задавать,Giving,TooGeneral,,
заказать,1,1,,3447,заказать 1.1,1.1_Вы уже заказали обед?,"Вы уже заказали обед [ужин, первое, второе]? Такси лучше заказать заранее.",Snom V Sacc,,НВ заказывать,Request,TooGeneral,,
залить,1,1,физическое воздействие,3509,залить 1.1,1.1_Дети залили скатерть.,Дети залили скатерть.,Snom V Sacc,1,НВ заливать,Filling,TooGeneral,,
залить,7,1,физическое воздействие,3519,залить 7.1,7.1_Прохладный воздух заливает комнату.,Прохладный воздух [аромат цветов] заливает комнату. Солнечный свет залил долину. Краска стыда заливает ее лицо. Комната была залита светом. Темнота уже залила город.,Snom V Sacc,7. <перен.>,НВ заливать,Filling,TooGeneral,,
залить,8,1,физическое воздействие,3520,залить 8.1,8.1_Бешенство заливает сердце.,Бешенство [злость] заливает сердце. Счастье заливает его грудь [его душу].,Snom V Sacc,8. <перен.>,НВ заливать,Filling,TooGeneral,Overwhelm,
заниматься,4,1,,13855,заниматься 4.1,4.1_Над лесными окрестностями занималось погожее летнее утро.,Над лесными окрестностями занималось погожее летнее утро.,Snom V {ADV / PRгде + Sx},4. абстр. начинаться,,Process_start,TooGeneral,Time_change,
занять,5,1,посессивный,3611,занять 5.1,5.1_Павлов вскоре занял пост секретаря.,Павлов вскоре занял пост [место] секретаря [должность начальника отдела]. Отставной полковник занимает кафедру в университете.,Snom V Sacc,5,НВ занимать,Residence,TooGeneral,,
зарасти,2,1,,3677,зарасти 2.1,2.1_Комната заросла грязью.,Комната заросла грязью [пылью]. Углы заросли паутиной.,Snom V Sins,2. <перен.>,НВ зарастать,Filling,TooGeneral,,
застать,1,1,,3692,застать 1.1,"1.1_Я зашел к нему, но никого не застал.","Я зашел к нему, но никого не застал.",Snom V Sacc,1,НВ заставать,Meet_with,TooGeneral,,
затронуть,1,1,,3716,затронуть 1.1,1.1_Пуля затронула кость.,Пуля затронула кость.,Snom V Sacc,1,НВ затрагивать,Objective_influence,TooGeneral,,
заявить,5,1,,14184,заявить 5.1,5.1_Клуб заявил нового игрока на матч.,Его приходилось заявлять на матч.,Snom V Sacc на Sacc,"5. (объявить о найме игрока, спорт.)",НВ заявлять,Statement,TooGeneral,Applying,
заявлять,7,1,,16667,заявить 7.1,"7.1_Ребенок заявит плачем, что устал","Ребенок заявит плачем, что устал",Snom V что + CL Sins,7,НВ заявлять,Cause_to_perceive,TooGeneral,,
звать,1,1,речь,3777,звать 1.1,1.1_Охотник позвал собаку.,"Охотник позвал собаку [лошадь]. Не зови никого [товарищей], а то худо будет.",Snom V Sacc,1,СВ позвать,Contacting,TooGeneral,,
звать,2,1,речь,3780,звать 2.1,2.1_Она звала дочь к себе.,"Она звала дочь к себе [в Москву, сюда, на Украину].",Snom V Sacc {ADV / PRкуда + Sx},2,СВ позвать,Contacting,TooGeneral,,
звенеть,1,1,звук,3788,звенеть 1.1,1.1_Стекла тихо звенели.,"Стекла [струны гитары] тихо звенели. Колокольчик звенит. Трамвай звенит. Комары [стрекозы, птицы] звенели над лугом. Ручьи звенят. Вода звенела под ударами весел.",Snom V,1,СВ нет,Make_noise,TooGeneral,,
звенеть,2,1,звук,3789,звенеть 2.1,2.1_Слова звенят.,Слова [песни] звенят.,Snom V,2,СВ нет,Make_noise,TooGeneral,,
звенеть,3,1,звук,3792,звенеть 3.1,3.1_Косари звенели косами.,Косари звенели косами. В соседней комнате звенели стаканами. Кони звенят уздечками.,Snom V Sins,3,СВ нет,Make_noise,TooGeneral,,
звенеть,4,1,звук,3793,звенеть 4.1,4.1_В каком ухе звенит?,В каком ухе звенит?,в + Sloc Vimpers,4,СВ нет,Make_noise,TooGeneral,,
звенеть,5,1,звук,12675,звенеть 5.1,5.1_У парня в кошельке не звенело ни копейки,У парня в кошельке не звенело ни копейки,Snom V {ADV / PRгде + Sx},5. бытийное (о деньгах),,Make_noise,TooGeneral,,
звучать,1,1,звук,3811,звучать 1.1,1.1_Пианино звучит.,Пианино [гитара] звучит. Нежно [тихо] звучат струны скрипки. Мерзлая земля звонко звучит под копытами лошадей.,Snom V,1,СВ нет,Make_noise,TooGeneral,,
звучать,2,1,звук,3812,звучать 2.1,2.1_Звучат голоса.,"Звучат голоса [слова, незнакомые мелодии, песни, шаги]. Серебристо звучал ее смех.",Snom V,2,СВ прозвучать,Make_noise,TooGeneral,,
злить,1,1,эмоция,13475,злить 1.1,1.1_Поведение соседа злило меня.,Поведение соседа злило меня.,Snom V Sacc,злить,СВ разозлить,Experiencer_obj,TooGeneral,,
злиться,1,1,эмоция,3825,злиться 1.1,1.1_Что ты злишься?,Что ты злишься? Зря вы злитесь.,Snom V,1,СВ нет,Emotion_directed,TooGeneral,,
злиться,2,1,эмоция,3828,злиться 2.1,2.1_Вьюга злится.,Вьюга [ветер] злится.,Snom V,2,СВ нет,Emotion_active,TooGeneral,,
значить,3,1,,3854,значить 3.1,3.1_Праздник значит веселье.,Праздник значит веселье.,Snom V {Snom/Vinf/Anom},2,СВ нет,Evidence,TooGeneral,,
играть,7,1,,3880,играть 7.1,7.1_Зорька играет.,Зорька играет. Изумруд играет. Ее хрустальное ожерелье так и играло.,Snom V,7,СВ нет,Color,TooGeneral,Color_emission,play with colors
